blob	size	path_hint
6cce2a8e2b0192cbf1bd73c641d0ccd5e01b9188	3360	AGENTS.md candidate
831e4a99485b8d17853ea0cac540b207c14f3b07	6715	build.gradle.kts candidate
b2782e8d00fc0162f26551fe13dfb716e53c910b	21291	README.md candidate
